country,hour,p,d,q,bic,notes
NL,7,2,1,4,3272.0668948998295,Passes Ljung-Box
NL,8,1,1,2,3526.9221762721663,Passes Ljung-Box
NL,9,1,1,1,3664.0236174674556,Passes Ljung-Box
NL,10,2,0,1,3777.666402972312,Passes Ljung-Box
NL,11,2,0,1,3797.8980445695097,Passes Ljung-Box
NL,12,2,0,1,3794.6165901774516,Passes Ljung-Box
NL,13,2,0,1,3762.78615365908,Passes Ljung-Box
NL,14,2,0,1,3691.4600597965964,Passes Ljung-Box
NL,15,2,0,1,3537.12225650788,Passes Ljung-Box
NL,16,1,1,1,3217.850902744348,Passes Ljung-Box
NL,17,2,1,5,2742.740284787182,Passes Ljung-Box
NL,18,0,0,0,,Zero-production rule applied
NL,19,0,0,0,,Zero-production rule applied
NO,3,0,0,0,,Zero-production rule applied
NO,4,0,0,0,,Zero-production rule applied
NO,5,0,0,0,,Zero-production rule applied
NO,6,2,1,5,47.90656075027177,Passes Ljung-Box
NO,7,0,1,2,567.1645845386273,Passes Ljung-Box
NO,8,1,1,1,797.9564128036692,Passes Ljung-Box
NO,9,2,0,1,912.6201761508441,Passes Ljung-Box
NO,10,2,0,1,949.5496614634003,Passes Ljung-Box
NO,11,1,1,1,957.651667497576,Passes Ljung-Box
NO,12,1,1,1,950.991886397818,Passes Ljung-Box
NO,13,1,1,1,911.1687857353618,Passes Ljung-Box
NO,14,1,1,1,821.0091914255647,Passes Ljung-Box
NO,15,1,1,1,652.0226720638534,Passes Ljung-Box
NO,16,0,1,2,308.39710680899356,Passes Ljung-Box
NO,17,0,1,4,-455.12385438863157,Passes Ljung-Box
NO,18,0,0,0,,Zero-production rule applied
NO,19,0,0,0,,Zero-production rule applied
NO,20,0,0,0,,Zero-production rule applied
PL,3,0,0,0,,Zero-production rule applied
PL,4,0,0,0,,Zero-production rule applied
PL,5,0,1,1,979.5152433733571,Passes Ljung-Box
PL,6,1,1,1,1520.1939552394613,Passes Ljung-Box
PL,7,1,0,1,1867.7942505323815,Passes Ljung-Box
PL,8,1,0,1,2025.9632185346347,Passes Ljung-Box
PL,9,1,0,1,2107.772379381569,Passes Ljung-Box
PL,10,1,0,1,2154.351103920678,Passes Ljung-Box
PL,11,1,0,1,2147.4529062264987,Passes Ljung-Box
PL,12,1,0,1,2112.4476404918873,Passes Ljung-Box
PL,13,1,0,1,2022.626707358769,Passes Ljung-Box
PL,14,2,0,1,1844.0379522636717,Passes Ljung-Box
PL,15,1,1,1,1473.505861975209,Passes Ljung-Box
PL,16,1,1,1,883.0357407265345,Passes Ljung-Box
PL,17,0,0,0,,Zero-production rule applied
PL,18,0,0,0,,Zero-production rule applied
PT,5,0,0,0,,Zero-production rule applied
PT,6,0,0,0,,Zero-production rule applied
PT,7,4,1,2,1724.3855045092173,Passes Ljung-Box
PT,8,1,1,1,2472.4411791938173,Passes Ljung-Box
PT,9,1,1,1,2792.8014500665004,Passes Ljung-Box
PT,10,2,0,1,2941.6406006155516,Passes Ljung-Box
PT,11,1,0,0,2977.4518231644497,Passes Ljung-Box
PT,12,1,0,0,2995.396228873218,Passes Ljung-Box
PT,13,1,0,0,2995.582632275104,Passes Ljung-Box
PT,14,1,0,0,2977.768809075483,Passes Ljung-Box
PT,15,1,0,1,2901.0017572967026,Passes Ljung-Box
PT,16,1,1,1,2753.0810658081855,Passes Ljung-Box
PT,17,2,0,1,2408.873685630765,Passes Ljung-Box
PT,18,0,1,1,1525.9178675707008,Passes Ljung-Box
PT,19,0,0,0,,Zero-production rule applied
RO,3,0,0,0,,Zero-production rule applied
RO,4,0,0,0,,Zero-production rule applied
RO,5,1,1,1,2729.2775783261077,Passes Ljung-Box
RO,6,1,1,1,3187.606497193274,Passes Ljung-Box
RO,7,1,1,1,3347.0416031311743,Passes Ljung-Box
RO,8,1,1,1,3415.776351320279,Passes Ljung-Box
RO,9,1,1,1,3464.2416225051193,Passes Ljung-Box
RO,10,3,0,1,3521.8556167176694,Passes Ljung-Box
RO,11,0,1,3,3490.8449224372257,Passes Ljung-Box
RO,12,4,1,3,3479.193029315307,Passes Ljung-Box
RO,13,1,1,1,3394.0633868997284,Passes Ljung-Box
RO,14,2,0,1,3284.0489051874865,Passes Ljung-Box
RO,15,1,1,1,2862.088401022986,Passes Ljung-Box
RO,16,1,1,3,1980.8498584152087,Passes Ljung-Box
RO,17,0,0,0,,Zero-production rule applied
SE,3,0,0,0,,Zero-production rule applied
SE,4,0,0,0,,Zero-production rule applied
SE,5,0,1,2,853.586839298445,Passes Ljung-Box
SE,6,1,1,1,1507.0941552833458,Passes Ljung-Box
SE,7,1,1,1,1841.247558523463,Passes Ljung-Box
SE,8,1,1,1,2012.0645151098408,Passes Ljung-Box
SE,9,1,0,2,2114.947575288261,Passes Ljung-Box
SE,10,3,1,1,2142.154075975414,Passes Ljung-Box
SE,11,1,0,2,2161.26525328577,Passes Ljung-Box
SE,12,3,0,0,2124.006922973957,Passes Ljung-Box
SE,13,3,0,0,2055.948624615325,Passes Ljung-Box
SE,14,1,0,1,1927.6256108563261,Passes Ljung-Box
SE,15,0,1,2,1670.9118081093584,Passes Ljung-Box
SE,16,0,1,1,1208.476176682436,Passes Ljung-Box
SE,17,0,0,0,,Zero-production rule applied
SE,18,0,0,0,,Zero-production rule applied
SE,19,0,0,0,,Zero-production rule applied
SE,20,0,0,0,,Zero-production rule applied
SI,4,0,0,0,,Zero-production rule applied
SI,5,0,1,1,1224.8487489247327,Passes Ljung-Box
SI,6,0,1,2,2081.058428653865,Passes Ljung-Box
SI,7,1,0,2,2555.629085736322,Passes Ljung-Box
SI,8,2,0,1,2758.7145399594865,Passes Ljung-Box
SI,9,2,0,1,2856.0366343742207,Passes Ljung-Box
SI,10,2,0,1,2909.373631598196,Passes Ljung-Box
SI,11,1,0,0,2910.059785164328,Passes Ljung-Box
SI,12,1,0,0,2885.2287888740943,Passes Ljung-Box
SI,13,1,0,0,2823.8016825292175,Passes Ljung-Box
SI,14,2,0,1,2700.218480931974,Passes Ljung-Box
SI,15,2,0,1,2427.38368744007,Passes Ljung-Box
SI,16,0,1,1,1855.841312823947,Passes Ljung-Box
SI,17,0,0,0,,Zero-production rule applied
SI,18,0,0,0,,Zero-production rule applied
SK,3,0,0,0,,Zero-production rule applied
SK,4,0,0,0,,Zero-production rule applied
SK,5,1,1,1,2114.263392813387,Passes Ljung-Box
SK,6,1,1,1,2676.827381640714,Passes Ljung-Box
SK,7,2,0,1,2924.8850572054166,Passes Ljung-Box
SK,8,1,0,3,3030.4545906624107,Passes Ljung-Box
SK,9,2,0,1,3092.2654632394174,Passes Ljung-Box
SK,10,1,0,0,3139.7416747806924,Passes Ljung-Box
SK,11,1,0,0,3138.3594919587945,Passes Ljung-Box
SK,12,1,0,1,3118.5379035202527,Passes Ljung-Box
SK,13,1,0,1,3058.7622454493785,Passes Ljung-Box
SK,14,1,0,1,2944.571376076088,Passes Ljung-Box
SK,15,5,1,5,2719.678914879524,Passes Ljung-Box
SK,16,2,1,3,2108.8911297680847,Passes Ljung-Box
SK,17,0,0,0,,Zero-production rule applied
SK,18,0,0,0,,Zero-production rule applied
UK,4,0,0,0,,Zero-production rule applied
UK,5,0,0,0,,Zero-production rule applied
UK,6,5,2,2,3106.51600036888,Passes Ljung-Box
UK,7,3,1,3,3841.5027289266027,Passes Ljung-Box
UK,8,2,1,3,4248.432978807772,Passes Ljung-Box
UK,9,0,1,1,4451.239636062224,Passes Ljung-Box
UK,10,1,1,1,4564.429720241727,Passes Ljung-Box
UK,11,0,1,2,4596.347639336167,Passes Ljung-Box
UK,12,0,1,2,4594.602192078606,Passes Ljung-Box
UK,13,0,1,2,4576.676771226769,Passes Ljung-Box
UK,14,0,1,1,4523.895114503148,Passes Ljung-Box
UK,15,1,0,1,4427.7239253546795,Passes Ljung-Box
UK,16,0,1,1,4169.527801222715,Passes Ljung-Box
UK,17,0,1,1,3725.8386487515195,Passes Ljung-Box
UK,18,0,0,0,,Zero-production rule applied
UK,19,0,0,0,,Zero-production rule applied
UK,20,0,0,0,,Zero-production rule applied
