tol,set_number,country,wind objective,solar objective,combined objective,ratio
0.05000,1,FR,-0.00000,204.55644,359.30206,1.75649
0.05000,1,HR,0.00480,0.19313,0.76751,3.87771
0.05000,1,HU,-0.00000,0.23666,0.73709,3.11452
0.05000,1,IE,2.05993,0.01729,2.10616,1.01393
0.05000,1,IT,-0.00000,565.05423,692.42170,1.22541
0.05000,1,LT,-0.00000,0.02561,0.76438,29.85189
0.05000,1,LU,0.00210,0.24953,0.83800,3.33033
0.05000,1,LV,-0.00000,0.02740,0.03417,1.24717
0.05000,1,NL,-0.00000,14.15485,40.58277,2.86706
0.05000,1,NO,11.84408,0.12085,12.56587,1.05023
0.05000,1,PL,-0.00000,0.44557,2.82587,6.34217
0.05000,1,PT,-0.00000,31.78844,49.94340,1.57112
0.05000,1,RO,-0.00000,5.38726,10.69448,1.98514
0.05000,1,SE,-0.00000,0.78742,1.80511,2.29244
0.05000,1,SI,0.00053,0.57599,0.59637,1.03443
0.05000,1,SK,0.00122,2.98856,3.01892,1.00975
0.05000,1,UK,-0.00000,145.98200,291.76870,1.99866
0.05000,2,AT,-0.00000,4.32768,10.61960,2.45388
0.05000,2,BE,-0.00000,18.51462,47.55284,2.56839
0.05000,2,BG,-0.00000,8.78007,15.60564,1.77739
0.05000,2,CH,-0.00000,3.40367,4.49512,1.32067
0.05000,2,CZ,-0.00000,7.29262,11.29717,1.54912
0.05000,2,DE,-0.00000,527.28381,1034.72981,1.96238
0.05000,2,DK,-0.00000,9.35513,29.74749,3.17980
0.05000,2,EE,-0.00000,0.03062,0.16507,5.39030
0.05000,2,EL,-0.00000,100.44120,138.48991,1.37882
0.05000,2,ES,-0.00000,472.80891,623.73572,1.31921
0.05000,2,FI,0.93629,0.00918,1.34385,1.42136
0.05000,2,FR,-0.00000,203.75099,402.22752,1.97411
0.05000,2,HR,-0.00000,0.10088,0.50819,5.03770
0.05000,2,HU,0.00651,0.19325,0.88784,4.44463
0.05000,2,IE,-0.00000,0.01968,0.05048,2.56506
0.05000,2,IT,-0.00000,479.51794,577.19119,1.20369
0.05000,2,LT,-0.00000,0.09379,0.86709,9.24500
0.05000,2,LU,-0.00000,0.36414,0.86246,2.36847
0.05000,2,LV,-0.00000,0.03234,0.03158,0.97649
0.05000,2,NL,-0.00000,14.63577,56.13940,3.83577
0.05000,2,NO,2.54324,0.09555,2.97028,1.12562
0.05000,2,PL,-0.00000,0.28722,2.77010,9.64440
0.05000,2,PT,-0.00000,32.74208,47.15028,1.44005
0.05000,2,RO,-0.00000,5.68360,13.03369,2.29321
0.05000,2,SE,-0.00000,0.79212,2.79806,3.53236
0.05000,2,SI,0.00045,0.64385,0.70814,1.09909
0.05000,2,SK,0.01840,3.97157,4.02641,1.00913
0.05000,2,UK,-0.00000,213.37632,417.51106,1.95669
0.05000,3,AT,-0.00000,4.43810,12.82027,2.88868
0.05000,3,BE,-0.00000,16.55714,58.84681,3.55416
0.05000,3,BG,-0.00000,10.09116,19.57256,1.93957
0.05000,3,CH,-0.00000,4.12896,5.33320,1.29166
0.05000,3,CZ,-0.00000,4.75661,8.48922,1.78472
0.05000,3,DE,-0.00000,505.81656,955.88696,1.88979
0.05000,3,DK,-0.00000,10.86062,27.18595,2.50317
0.05000,3,EE,-0.00000,0.02410,0.07916,3.28499
0.05000,3,EL,-0.00000,104.54275,133.68469,1.27876
0.05000,3,ES,-0.00000,466.65138,589.29439,1.26282
0.05000,3,FI,0.00159,0.00797,0.17889,18.71478
0.05000,3,FR,-0.00000,221.40742,395.27413,1.78528
0.05000,3,HR,-0.00000,0.06991,0.48023,6.86898
0.05000,3,HU,-0.00000,0.28759,0.91567,3.18397
0.05000,3,IE,-0.00000,0.01800,0.05489,3.05029
0.05000,3,IT,-0.00000,529.59073,671.96627,1.26884
0.05000,3,LT,-0.00000,0.01521,0.85286,56.05615
0.05000,3,LU,0.00236,0.29161,0.42851,1.45768
0.05000,3,LV,-0.00000,0.01650,0.02033,1.23224
0.05000,3,NL,-0.00000,11.07456,47.81522,4.31757
0.05000,3,NO,3.70558,0.08055,4.13518,1.09219
0.05000,3,PL,-0.00000,0.25766,2.02130,7.84483
0.05000,3,PT,-0.00000,34.54339,50.33765,1.45723
0.05000,3,RO,-0.00000,3.40492,13.80090,4.05323
0.05000,3,SE,-0.00000,0.79773,2.54382,3.18884
0.05000,3,SI,0.00322,0.64435,0.65490,1.01132
0.05000,3,SK,0.00537,3.45150,3.48914,1.00934
0.05000,3,UK,5.76878,200.01275,530.29422,2.57698
0.05000,4,AT,-0.00000,3.12117,8.50794,2.72588
0.05000,4,BE,-0.00000,16.47474,49.57254,3.00900
0.05000,4,BG,-0.00000,8.32010,11.35641,1.36494
0.05000,4,CH,-0.00000,3.06052,4.34951,1.42117
0.05000,4,CZ,-0.00000,5.38400,10.13037,1.88157
0.05000,4,DE,-0.00000,504.97706,905.16079,1.79248
0.05000,4,DK,-0.00000,10.43924,30.26576,2.89923
0.05000,4,EE,-0.00000,0.02250,0.06603,2.93492
0.05000,4,EL,-0.00000,93.10733,133.81900,1.43726
0.05000,4,ES,-0.00000,456.26000,673.10894,1.47527
0.05000,4,FI,-0.00000,0.01543,0.17886,11.59519
0.05000,4,FR,-0.00000,215.41400,361.78793,1.67950
0.05000,4,HR,-0.00000,0.25237,0.89721,3.55514
0.05000,4,HU,-0.00000,0.30512,1.04711,3.43179
0.05000,4,IE,-0.00000,0.01275,0.04199,3.29402
0.05000,4,IT,-0.00000,558.48627,739.32970,1.32381
0.05000,4,LT,-0.00000,0.03007,0.48962,16.28405
0.05000,4,LU,-0.00000,0.44601,1.15878,2.59811
0.05000,4,LV,0.00281,0.03280,0.02888,0.81125
0.05000,4,NL,-0.00000,10.00760,40.18271,4.01522
0.05000,4,NO,1.30860,0.08432,1.83864,1.32000
0.05000,4,PL,-0.00000,0.20836,2.42256,11.62666
0.05000,4,PT,-0.00000,31.94747,52.62420,1.64721
0.05000,4,RO,-0.00000,1.53236,3.70945,2.42074
0.05000,4,SE,-0.00000,0.90125,1.94007,2.15264
0.05000,4,SI,0.00092,0.52057,0.54886,1.05248
0.05000,4,SK,0.00055,3.35402,3.44829,1.02794
0.05000,4,UK,-0.00000,166.46498,421.87816,2.53434
0.05000,5,AT,-0.00000,3.18693,13.07909,4.10398
0.05000,5,BE,-0.00000,13.37141,59.83705,4.47500
0.05000,5,BG,-0.00000,5.52063,9.26276,1.67785
0.05000,5,CH,-0.00000,5.55896,7.36735,1.32531
