tol,day,country,n_sets,mean_ratio,ci_lower,ci_upper,ratio_1000,extreme_1000,within_ci,rel_dev_pct
0.1000,271,UK,10,2.2265,2.0015,2.4516,2.6051,False,False,17.0043
0.1000,301,AT,10,2.4706,2.2444,2.6968,2.6045,False,True,5.4197
0.1000,301,BE,10,2.9469,2.6251,3.2686,3.3295,False,False,12.9831
0.1000,301,BG,10,2.0199,1.7855,2.2543,1.9664,False,True,-2.6486
0.1000,301,CH,10,1.1417,1.1077,1.1758,1.1288,False,True,-1.1299
0.1000,301,CZ,10,1.4062,1.3296,1.4827,0.0000,False,False,-100.0000
0.1000,301,DE,10,2.1642,1.9584,2.3700,2.4038,False,False,11.0711
0.1000,301,DK,10,4.9641,3.4508,6.4773,7.9124,False,False,59.3924
0.1000,301,EE,10,6.1775,3.9594,8.3955,9.1328,False,False,47.8397
0.1000,301,EL,10,1.2622,1.2329,1.2916,1.2513,False,True,-0.8636
0.1000,301,ES,10,1.5227,1.4393,1.6060,1.4978,False,True,-1.6353
0.1000,301,FI,10,2.0326,0.0447,4.0205,0.9519,False,True,-53.1684
0.1000,301,FR,10,1.6654,1.5800,1.7508,1.8831,False,False,13.0719
0.1000,301,HR,10,3.7539,3.1856,4.3222,4.1514,False,True,10.5890
0.1000,301,HU,10,2.6931,2.5246,2.8615,3.2308,False,False,19.9658
0.1000,301,IE,10,1.4749,1.0255,1.9243,8.4252,False,False,471.2387
0.1000,301,IT,10,1.3493,1.3061,1.3925,1.3492,False,True,-0.0074
0.1000,301,LT,10,7.0431,5.6976,8.3886,6.0367,False,True,-14.2892
0.1000,301,LU,10,2.1376,1.8634,2.4117,0.0000,False,False,-100.0000
0.1000,301,LV,10,2.6832,2.1595,3.2069,6.2050,False,False,131.2537
0.1000,301,NL,10,4.6711,3.8244,5.5178,5.6548,False,False,21.0593
0.1000,301,NO,10,1.0148,1.0117,1.0179,1.0165,False,True,0.1675
0.1000,301,PL,10,2.3256,1.0191,3.6321,0.0000,False,False,-100.0000
0.1000,301,PT,10,1.6136,1.5210,1.7062,1.5682,False,True,-2.8136
0.1000,301,RO,10,2.2469,2.1315,2.3622,2.3251,False,True,3.4804
0.1000,301,SE,10,5.3692,4.1845,6.5538,5.3421,False,True,-0.5047
0.1000,301,SI,10,1.0043,0.9773,1.0314,0.0000,False,False,-100.0000
0.1000,301,SK,10,1.0041,1.0008,1.0075,1.0150,False,False,1.0855
