country,tol,forecast_day,n_obs,ratio_of_means,ci_lower_95,ci_upper_95,ci_width,mean_wind_obj,mean_solar_obj,mean_combined_obj,near_zero_denom
FI,0.10000,271,10,1.25869,1.15952,1.59785,0.43833,1.02340,0.01610,1.30841,False
FI,0.10000,301,10,1.07349,1.04648,1.12585,0.07937,2.88549,0.02657,3.12608,False
FI,0.10000,332,10,1.07849,1.03634,1.17045,0.13411,1.50075,0.01826,1.63824,False
FI,0.10000,362,10,1.00410,1.00267,1.00638,0.00371,18.95969,0.01277,19.05020,False
FR,0.01000,271,10,1.82206,1.68699,1.97756,0.29057,0.00000,156.06279,284.35526,False
FR,0.01000,301,10,2.00019,1.86740,2.14343,0.27603,0.00000,127.27509,254.57474,False
FR,0.01000,332,10,1.68977,1.53636,1.87420,0.33784,0.00000,94.46528,159.62499,False
FR,0.01000,362,10,2.41045,2.12401,2.69243,0.56842,7.38504,107.59853,277.16247,False
FR,0.05000,271,10,1.77283,1.67823,1.88010,0.20187,0.00000,195.40759,346.42379,False
FR,0.05000,301,10,1.88291,1.79305,1.98558,0.19254,0.00000,166.94158,314.33607,False
FR,0.05000,332,10,1.71726,1.60132,1.83529,0.23396,0.00000,121.71434,209.01472,False
FR,0.05000,362,10,1.61301,1.46581,1.76095,0.29514,123.60070,136.52199,419.58033,False
FR,0.10000,271,10,1.74680,1.65734,1.84819,0.19085,1.24135,226.87365,398.47040,False
FR,0.10000,301,10,1.65752,1.59557,1.73094,0.13537,24.98674,194.74087,364.20387,False
FR,0.10000,332,10,1.73790,1.64512,1.84217,0.19705,6.64300,139.77303,254.45712,False
FR,0.10000,362,10,1.28655,1.24904,1.33521,0.08617,327.29666,154.83807,620.29093,False
HR,0.01000,271,10,10.40048,6.26450,24.06650,17.80200,0.00000,0.03129,0.32538,False
HR,0.01000,301,10,5.89380,4.30312,8.04430,3.74117,0.00000,0.12525,0.73820,False
HR,0.01000,332,10,4.06969,3.09531,5.54300,2.44769,0.00000,0.14237,0.57939,False
HR,0.01000,362,10,4.64246,3.79877,5.72511,1.92634,0.00000,0.13496,0.62654,False
HR,0.05000,271,10,4.31834,3.77336,5.11063,1.33727,0.00000,0.14958,0.64595,False
HR,0.05000,301,10,4.18495,3.57652,4.95422,1.37770,0.00059,0.28900,1.21190,False
